,SEASON_YEAR,GAME_MONTH,TEAM_NAME,TEAM_ABBREVIATION,L,W,win_%,GAME_MONTH_DATE,cumulative_win_%,opp_avg_cumulative_win_%,cluster,PLAYER_NAME_count,MIN_sum,MIN_mean,PTS_sum,PTS_mean,MIN_%
0,2000-01,2000-10,Atlanta Hawks,ATL,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,25.41666666666667,25.41666666666667,4.0,4.0,0.10722823794121786
1,2000-01,2000-10,Atlanta Hawks,ATL,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,8.0,175.71666666666667,21.964583333333334,55.0,6.875,0.7413162705667277
2,2000-01,2000-10,Atlanta Hawks,ATL,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,1.0,35.9,35.9,23.0,23.0,0.15145549149205456
3,2000-01,2000-10,Charlotte Hornets,CHH,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,100.98333333333332,33.661111111111104,61.0,20.333333333333332,0.44964749536178106
4,2000-01,2000-10,Charlotte Hornets,CHH,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,3.0,30.4,10.133333333333333,4.0,1.3333333333333333,0.1353617810760668
5,2000-01,2000-10,Charlotte Hornets,CHH,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,4.0,93.19999999999999,23.299999999999997,41.0,10.25,0.4149907235621521
6,2000-01,2000-10,Chicago Bulls,CHI,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,38.7,38.7,19.0,19.0,0.17604245640636848
7,2000-01,2000-10,Chicago Bulls,CHI,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,6.0,105.3,17.55,30.0,5.0,0.4789992418498863
8,2000-01,2000-10,Chicago Bulls,CHI,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,75.83333333333333,25.277777777777775,32.0,10.666666666666666,0.34495830174374525
9,2000-01,2000-10,Cleveland Cavaliers,CLE,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,27.0,27.0,8.0,8.0,0.1304095826893354
10,2000-01,2000-10,Cleveland Cavaliers,CLE,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,5.0,119.05499999999999,23.811,54.0,10.8,0.5750338098918083
11,2000-01,2000-10,Cleveland Cavaliers,CLE,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,4.0,60.985,15.24625,16.0,4.0,0.29455660741885625
12,2000-01,2000-10,Dallas Mavericks,DAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,113.29666666666667,37.76555555555556,62.0,20.666666666666668,0.47206944444444443
13,2000-01,2000-10,Dallas Mavericks,DAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,3.0,65.45333333333333,21.817777777777778,14.0,4.666666666666667,0.2727222222222222
14,2000-01,2000-10,Dallas Mavericks,DAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,61.25,20.416666666666668,21.0,7.0,0.2552083333333333
15,2000-01,2000-10,Detroit Pistons,DET,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,78.73333333333333,39.36666666666667,65.0,32.5,0.35088761791576917
16,2000-01,2000-10,Detroit Pistons,DET,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,6.0,67.97333333333333,11.328888888888889,22.0,3.6666666666666665,0.30293396716927873
17,2000-01,2000-10,Detroit Pistons,DET,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,77.67666666666666,25.89222222222222,15.0,5.0,0.3461784149149521
18,2000-01,2000-10,Golden State Warriors,GSW,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,103.32333333333334,34.44111111111111,36.0,12.0,0.5317721736146852
19,2000-01,2000-10,Golden State Warriors,GSW,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,60.52666666666667,15.131666666666668,28.0,7.0,0.311511408474867
20,2000-01,2000-10,Golden State Warriors,GSW,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,1.0,30.45,30.45,10.0,10.0,0.15671641791044774
21,2000-01,2000-10,Houston Rockets,HOU,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,99.5,33.166666666666664,56.0,18.666666666666668,0.45673628643562086
22,2000-01,2000-10,Houston Rockets,HOU,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,55.666666666666664,13.916666666666666,11.0,2.75,0.2555275036339989
23,2000-01,2000-10,Houston Rockets,HOU,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,62.68333333333334,20.894444444444446,22.0,7.333333333333333,0.28773620993038024
24,2000-01,2000-10,Indiana Pacers,IND,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,86.29999999999998,43.14999999999999,42.0,21.0,0.37800310987494795
25,2000-01,2000-10,Indiana Pacers,IND,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,6.0,100.09166666666667,16.681944444444444,25.0,4.166666666666667,0.4384120657307842
26,2000-01,2000-10,Indiana Pacers,IND,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,41.913333333333334,20.956666666666667,16.0,8.0,0.18358482439426793
27,2000-01,2000-10,Los Angeles Clippers,LAC,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,53.0,26.5,29.0,14.5,0.2617930353173623
28,2000-01,2000-10,Los Angeles Clippers,LAC,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,6.0,99.16333333333334,16.527222222222225,36.0,6.0,0.48981641557586236
29,2000-01,2000-10,Los Angeles Clippers,LAC,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,50.28666666666667,25.143333333333334,23.0,11.5,0.24839054910677533
30,2000-01,2000-10,Los Angeles Lakers,LAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,34.9,34.9,14.0,14.0,0.14541666666666667
31,2000-01,2000-10,Los Angeles Lakers,LAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,8.0,114.20166666666667,14.275208333333333,41.0,5.125,0.47584027777777776
32,2000-01,2000-10,Los Angeles Lakers,LAL,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,90.89833333333333,45.44916666666666,41.0,20.5,0.37874305555555554
33,2000-01,2000-10,Milwaukee Bucks,MIL,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,4.0,142.29666666666665,35.57416666666666,64.0,16.0,0.6631816063383563
34,2000-01,2000-10,Milwaukee Bucks,MIL,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,2.0,31.436666666666667,15.718333333333334,12.0,6.0,0.14651235047382322
35,2000-01,2000-10,Milwaukee Bucks,MIL,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,40.833333333333336,20.416666666666668,11.0,5.5,0.19030604318782043
36,2000-01,2000-10,Minnesota Timberwolves,MIN,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,4.0,135.75,33.9375,69.0,17.25,0.593209229155742
37,2000-01,2000-10,Minnesota Timberwolves,MIN,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,2.0,42.97333333333333,21.486666666666665,9.0,4.5,0.18778768280603622
38,2000-01,2000-10,Minnesota Timberwolves,MIN,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,50.11666666666667,25.058333333333334,22.0,11.0,0.21900308803822174
39,2000-01,2000-10,New Jersey Nets,NJN,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,40.266666666666666,40.266666666666666,9.0,9.0,0.2022959247753896
40,2000-01,2000-10,New Jersey Nets,NJN,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,104.51499999999999,26.128749999999997,39.0,9.75,0.5250734746167179
41,2000-01,2000-10,New Jersey Nets,NJN,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,54.26666666666666,27.13333333333333,30.0,15.0,0.27263060060789257
42,2000-01,2000-10,New York Knicks,NYK,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,62.43333333333333,31.216666666666665,27.0,13.5,0.26945763199539635
43,2000-01,2000-10,New York Knicks,NYK,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,7.0,125.56666666666666,17.938095238095237,31.0,4.428571428571429,0.5419364120270465
44,2000-01,2000-10,New York Knicks,NYK,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,43.699999999999996,21.849999999999998,12.0,6.0,0.18860595597755717
45,2000-01,2000-10,Orlando Magic,ORL,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,114.22333333333333,38.074444444444445,51.0,17.0,0.4759305555555555
46,2000-01,2000-10,Orlando Magic,ORL,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,5.0,97.475,19.494999999999997,37.0,7.4,0.4061458333333333
47,2000-01,2000-10,Orlando Magic,ORL,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,28.30166666666667,14.150833333333335,9.0,4.5,0.11792361111111112
48,2000-01,2000-10,Philadelphia 76ers,PHI,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,4.0,113.16,28.29,67.0,16.75,0.5741733615221987
49,2000-01,2000-10,Philadelphia 76ers,PHI,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,59.339999999999996,14.834999999999999,9.0,2.25,0.3010909090909091
50,2000-01,2000-10,Philadelphia 76ers,PHI,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,24.583333333333336,12.291666666666668,6.0,3.0,0.12473572938689219
51,2000-01,2000-10,Phoenix Suns,PHX,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,109.22666666666666,36.40888888888889,57.0,19.0,0.4998703339282718
52,2000-01,2000-10,Phoenix Suns,PHX,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,3.0,56.865,18.955000000000002,17.0,5.666666666666667,0.2602398059585374
53,2000-01,2000-10,Phoenix Suns,PHX,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,52.41833333333333,26.209166666666665,18.0,9.0,0.23988986011319086
54,2000-01,2000-10,Portland Trail Blazers,POR,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,5.0,144.475,28.895,62.0,12.4,0.6185644253205745
55,2000-01,2000-10,Portland Trail Blazers,POR,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,2.0,47.263333333333335,23.631666666666668,18.0,9.0,0.20235623202677344
56,2000-01,2000-10,Portland Trail Blazers,POR,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,41.82666666666666,20.91333333333333,6.0,3.0,0.179079342652652
57,2000-01,2000-10,Sacramento Kings,SAC,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,3.0,88.8,29.599999999999998,50.0,16.666666666666668,0.39710814638145636
58,2000-01,2000-10,Sacramento Kings,SAC,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,3.0,90.36666666666667,30.122222222222224,29.0,9.666666666666666,0.40411418349854666
59,2000-01,2000-10,Sacramento Kings,SAC,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,2.0,44.45,22.225,11.0,5.5,0.19877767011999703
60,2000-01,2000-10,San Antonio Spurs,SAS,0.0,1.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,57.06666666666666,28.53333333333333,21.0,10.5,0.23777777777777775
61,2000-01,2000-10,San Antonio Spurs,SAS,0.0,1.0,0.0,2000-10-01,0.5,0.5,1.0,5.0,86.93333333333334,17.386666666666667,33.0,6.6,0.3622222222222222
62,2000-01,2000-10,San Antonio Spurs,SAS,0.0,1.0,0.0,2000-10-01,0.5,0.5,2.0,4.0,96.0,24.0,44.0,11.0,0.4
63,2000-01,2000-10,Seattle SuperSonics,SEA,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,1.0,48.0,48.0,27.0,27.0,0.20392267931742547
64,2000-01,2000-10,Seattle SuperSonics,SEA,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,94.62166666666667,23.655416666666667,36.0,9.0,0.40198966225306243
65,2000-01,2000-10,Seattle SuperSonics,SEA,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,92.76166666666667,30.920555555555556,25.0,8.333333333333334,0.39408765842951216
66,2000-01,2000-10,Toronto Raptors,TOR,1.0,0.0,0.0,2000-10-01,0.5,0.5,0.0,2.0,69.51666666666667,34.75833333333333,28.0,14.0,0.3008077311409203
67,2000-01,2000-10,Toronto Raptors,TOR,1.0,0.0,0.0,2000-10-01,0.5,0.5,1.0,4.0,88.81666666666666,22.204166666666666,38.0,9.5,0.38432136160392333
68,2000-01,2000-10,Toronto Raptors,TOR,1.0,0.0,0.0,2000-10-01,0.5,0.5,2.0,3.0,72.76666666666667,24.255555555555556,27.0,9.0,0.31487090725515654
